ao,clave_ent,edo,homicidio,robocasa,robocalle,robocarro,extorsion,tasa_hom,tasa_rcasa,tasa_rcalle,tasa_rcarro,tasa_extor,desocupa,edad15a24,edad25a34,edad35a44,edad45mas,pob_tot,pibe,ingreso,pob_ext,pobreza
2019,27,Tabasco,996,2270,5813,4221,232,39.15,89.22,228.47,165.9,9.12,7.08131218,437451,417443,354998,638295,2544372,443159.3438,,,
2015,28,Tamaulipas,1383,3640,127,6658,174,39.57,104.16,3.63,190.52,4.98,4.746195793,604875,540788,493711,896315,3494719,492586.9375,198762,3.64,35.21
2016,28,Tamaulipas,1513,2850,515,4492,107,42.9,80.8,14.6,127.36,3.03,4.67987299,604701,543244,495318,925592,3527104,500458.0625,195767,2.88,32.16
2017,28,Tamaulipas,1620,2832,305,5345,182,45.51,79.57,8.57,150.17,5.11,4.111422062,605757,547040,496199,954994,3559268,498369.4375,190353,2.59,31.29
2018,28,Tamaulipas,1607,2450,169,4298,138,44.76,68.24,4.71,119.71,3.84,3.903963089,606886,550793,496791,984383,3590486,507780.7188,181031,3.32,35.07
2019,28,Tamaulipas,1453,2213,213,3091,123,40.13,61.12,5.88,85.37,3.4,3.371731043,608223,554335,497388,1013585,3620910,515795.0313,,,
2015,29,Tlaxcala,323,1135,458,1248,9,24.94,87.63,35.36,96.36,0.69,4.823907852,241920,207970,174208,300998,1295194,96458.61719,139060,6,57.17
2016,29,Tlaxcala,363,892,352,1468,0,27.62,67.86,26.78,111.68,0,4.154550076,243094,212134,177060,312047,1314415,96859.66406,142812,5.74,53.95
2017,29,Tlaxcala,319,537,300,2341,8,23.96,40.33,22.53,175.83,0.6,3.687414885,243403,215851,179556,322899,1331372,95585.22656,147130,5.03,50.58
2018,29,Tlaxcala,172,267,182,2284,1,12.76,19.81,13.5,169.44,0.07,3.5706141,243643,219318,182061,333917,1347932,99024.91406,151728,3.13,48.38
2019,29,Tlaxcala,193,130,57,1998,2,14.15,9.53,4.18,146.47,0.15,3.959299088,243869,222457,184679,345058,1364147,105495.6641,,,
2015,30,Veracruz,1008,2684,1205,6144,126,12.23,32.57,14.62,74.55,1.53,3.665142059,1443892,1249232,1098001,2249256,8241248,785745.9375,126082,17.26,60.72
2016,30,Veracruz,1817,1828,1205,7560,192,21.85,21.98,14.49,90.9,2.31,3.550404072,1439799,1267608,1103985,2309882,8316599,784930.125,127445,16.4,62.16
2017,30,Veracruz,2688,2601,1730,10609,609,32.09,31.05,20.65,126.64,7.27,3.421715021,1432639,1283235,1108251,2366087,8376971,776072.875,125484,16.06,62.47
